Template model,Target model,Target chemical,Target ID,Yield type,Oxygen availability,Carbon source,molar yield (mol/mol),molar yield (mol/C mol),gram yield (g/g),Max yield (mol/mol),Production flux at max yield (mmol/gDCW/h),Carbon uptake rate at max yield (mmol/gDCW/h)
eciML1515,eciML1515_gln__L,L-glutamine zwitterion,gln__L,YT,aerobic,D-glucose,0.333333333333332,0.0555555555555554,0.270403793277983,1.15643565131504,4.67554907491756,4.04306895035684
eciML1515,eciML1515_gln__L,L-glutamine zwitterion,gln__L,YA,aerobic,D-glucose,0.204503383383962,0.0340838972306604,0.165895471815616,0.892334507416925,3.19438182486198,3.57980308764353
eciML1515,eciML1515_met_57504,L-dopa zwitterion,met_57504,YT,aerobic,D-glucose,0.2,0.0333333333333333,0.218908136664759,0.551546391752577,1.4989657265671399,2.71775094349557
eciML1515,eciML1515_met_57504,L-dopa zwitterion,met_57504,YA,aerobic,D-glucose,0.18533996823587,0.0308899947059784,0.2028621354801,0.485359663265079,3.9609738311233,8.16090444038407
eciML1515,eciML1515_oxa,oxalate(2-),oxa,YT,aerobic,D-glucose,1.0,0.166666666666666,0.488571341662564,3.0,9.21273260223085,3.07091086741028
eciML1515,eciML1515_oxa,oxalate(2-),oxa,YA,aerobic,D-glucose,0.895532982909877,0.149255497151646,0.437531750963357,2.48242571116049,9.27150164764531,3.73485563171638
eciML1515,eciML1515_5aop,5-ammoniolevulinate,5aop,YT,aerobic,D-glucose,0.2,0.0333333333333333,0.145573777553083,1.08035715508076,2.44821733337644,2.26611849781605
eciML1515,eciML1515_5aop,5-ammoniolevulinate,5aop,YA,aerobic,D-glucose,0.159917776030688,0.0266529626717813,0.116399173773376,0.682496626876888,1.83425691453726,2.68756920152242
eciML1515,eciML1515_phpyr,keto-phenylpyruvate,phpyr,YT,aerobic,D-glucose,0.2,0.0333333333333333,0.181121015866926,0.581521739696179,9.05158102931778,15.5653355866744
eciML1515,eciML1515_phpyr,keto-phenylpyruvate,phpyr,YA,aerobic,D-glucose,0.185990687653135,0.0309984479421892,0.168434111447619,0.512556153164268,4.1594924659103,8.11519370166889
eciML1515,eciML1515_btd_RR,"(R,R)-butane-2,3-diol",btd_RR,YT,aerobic,D-glucose,0.600000000000001,0.1,0.300143409141018,1.09090909090909,85.7788943149709,78.6306531220567
eciML1515,eciML1515_btd_RR,"(R,R)-butane-2,3-diol",btd_RR,YA,aerobic,D-glucose,0.60929649296334,0.10154941549389,0.304793877626138,1.08248765827516,58.9928141935211,54.4974473773866
eciML1515,eciML1515_4mop,4-methyl-2-oxopentanoate,4mop,YT,aerobic,D-glucose,0.666666666666666,0.111111111111111,0.477859729030215,0.808743169398907,6.21089722837794,7.6796904918457
eciML1515,eciML1515_4mop,4-methyl-2-oxopentanoate,4mop,YA,aerobic,D-glucose,0.66545355150107,0.110908925250178,0.476990180703744,0.769267910577341,15.6385894806639,20.3291847555776
eciML1515,eciML1515_met_37808,butane,met_37808,YT,aerobic,D-glucose,0.166666666666666,0.0277777777777778,0.0537702867834974,0.755038759689922,6.62679767089497,8.77676488239683
eciML1515,eciML1515_met_37808,butane,met_37808,YA,aerobic,D-glucose,0.157961025590674,0.0263268375984457,0.0509616578797555,0.590852313150081,2.92044203044038,4.9427614404525
eciML1515,eciML1515_met_74904,isocaproate,met_74904,YT,aerobic,D-glucose,0.666666666666666,0.111111111111111,0.426113726253804,0.750000000190678,16.0819503745896,21.4426004940013
eciML1515,eciML1515_met_74904,isocaproate,met_74904,YA,aerobic,D-glucose,0.665499979636023,0.11091666327267,0.425368014216806,0.731458387753641,27.9751081399187,38.2456590946098
eciML1515,eciML1515_met_74904_path_1,isocaproate,met_74904,YT,aerobic,D-glucose,0.5,0.0833333333333333,0.319585294690353,0.660550458715596,3.90305078116389,5.90878521037311
eciML1515,eciML1515_met_74904_path_1,isocaproate,met_74904,YA,aerobic,D-glucose,0.464522580706523,0.0774204301177539,0.296909171690836,0.595293414564544,5.15543273789415,8.66032213990698
