Template model,Taget model,Target chemical,Target ID,Air condition,Carbon source,Target reaction,Previous cofactor,New cofactor,Improved YT (mol/mol),Previous YT (mol/mol),Increased percentage (%)
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,fructose,MMSDHir,NADH,NADPH,0.526866078621886,0.514056916480853,2.49177897045374
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,fructose,HIBD,NADH,NADPH,0.526866078577344,0.514056916480853,2.49177896178893
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,fructose,VALDHr,NADH,NADPH,0.53727797870662,0.514056916480853,4.51721618390703
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,fructose,ALAD_L,NADH,NADPH,0.537277980064016,0.514056916480853,4.51721644796272
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,fructose,HACOADr,NADH,NADPH,0.526866078621877,0.514056916480853,2.49177897045198
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,fructose,GAPD,NADH,NADPH,0.537277980057972,0.514056916480853,4.51721644678682
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,fructose,MDH,NADH,NADPH,0.537277980215071,0.514056916480853,4.51721647734759
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,fructose,MMSAD1,NADH,NADPH,0.526866078967157,0.514056916480853,2.49177903761961
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,fructose,HSDy,NADPH,NADH,0.520145030303391,0.514056916480853,1.18432679871633
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,fructose,ASAD,NADPH,NADH,0.520190616775622,0.514056916480853,1.19319478021215
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,fructose,GLUDxi,NADH,NADPH,0.53727797942901,0.514056916480853,4.51721632443433
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,fructose,KARA1,NADPH,NADH,0.526966515342321,0.514056916480853,2.51131702494038
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-galactose,LLEUDr,NADH,NADPH,0.530680512375891,0.514578620239088,3.12914130193
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-galactose,OIVD2,NADH,NADPH,0.523901093058361,0.514578620239088,1.81167123013028
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-galactose,MMSDHir,NADH,NADPH,0.523899801393131,0.514578620239088,1.81142021596474
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-galactose,HIBD,NADH,NADPH,0.523899801383791,0.514578620239088,1.81142021414963
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-galactose,VALDHr,NADH,NADPH,0.530680512145409,0.514578620239088,3.12914125713958
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-galactose,ALAD_L,NADH,NADPH,0.530680512152721,0.514578620239088,3.12914125856051
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-galactose,HACOADr,NADH,NADPH,0.523899801217501,0.514578620239088,1.81142018183382
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-galactose,GAPD,NADH,NADPH,0.530680512914364,0.514578620239088,3.12914140657347
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-galactose,MDH,NADH,NADPH,0.530680512601812,0.514578620239088,3.12914134583406
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-galactose,MMSAD1,NADH,NADPH,0.523899801144603,0.514578620239088,1.81142016766731
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-galactose,GLUDxi,NADH,NADPH,0.530680513168645,0.514578620239088,3.12914145598897
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-galactose,KARA1,NADPH,NADH,0.523972235128526,0.514578620239088,1.82549653638413
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,glycerol,LLEUDr,NADH,NADPH,0.314775845119875,0.298208659896212,5.55556811443032
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,glycerol,FDH,NADH,NADPH,0.304691437372284,0.298208659896212,2.17390651174549
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,glycerol,OIVD2,NADH,NADPH,0.301751927469451,0.298208659896212,1.18818399655884
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,glycerol,MMSDHir,NADH,NADPH,0.301750863956967,0.298208659896212,1.18782736289013
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,glycerol,HIBD,NADH,NADPH,0.301750864222596,0.298208659896212,1.18782745196512
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,glycerol,VALDHr,NADH,NADPH,0.314775844477799,0.298208659896212,5.55556789911906
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,glycerol,ALAD_L,NADH,NADPH,0.314775845192381,0.298208659896212,5.55556813874404
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,glycerol,HACOADr,NADH,NADPH,0.301750864253499,0.298208659896212,1.18782746232803
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,glycerol,GAPD,NADH,NADPH,0.314775844634682,0.298208659896212,5.5555679517278
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,glycerol,MDH,NADH,NADPH,0.314775845119874,0.298208659896212,5.55556811442998
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,glycerol,MMSAD1,NADH,NADPH,0.301750864408539,0.298208659896212,1.18782751431827
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,glycerol,G3PD1ir,NADH,NADPH,0.314775844875163,0.298208659896212,5.55556803236967
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,glycerol,HSDy,NADPH,NADH,0.304733971490799,0.298208659896212,2.18816971876605
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,glycerol,ASAD,NADPH,NADH,0.304761029362599,0.298208659896212,2.19724318826557
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,glycerol,GLUDxi,NADH,NADPH,0.314775845220612,0.298208659896212,5.5555681482108
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,glycerol,KARA1,NADPH,NADH,0.301810478849911,0.298208659896212,1.20781836280461
